id,english,filipino,taglish
18,Describe the experience of going to a restaurant.,Ilarawan ang karanasan ng pagpunta sa isang restaurant.,Ilarawan mo ang iyong experience pagpunta sa restaurant.
19,Make a list of five food items that are typically served during breakfast.,Gumawa ng listahan ng limang pagkain na karaniwang inihahain sa almusal.,Make a list of five food items na inihahain during breakfast.
20,"You are provided with a short story, and you need to generate a different and longer version of the story."," Bibigyan ka ng isang maikling kuwento, at kailangan mong bumuo ng iba at mas mahabang bersyon ng kuwento.","Bibigyan ka ng short story, and kailangan mong gumawa ng different at longer version ng story."
21,Develop an approach for solving a given problem.,Bumuo ng isang diskarte para sa paglutas ng isang naibigay na problema.,Bumuo ng isang approach para i-solve yung binigay na problem.
22,Compare two methods for the given task.,Paghambingin ang dalawang pamamaraan para sa ibinigay na gawain.,Compare two methods para sa ibinigay na task.
23,Pick the antonym of the following word.,Piliin ang kasalungat ng sumusunod na salita.,Piliin ang antonym ng sumusnod na word.
24,Generate a new proverb.,Bumuo ng bagong salawikain.,Bumuo ng baging proverb. 
25,"Evaluate the following statement: ""Studying all night is more effective than taking short breaks."""," Suriin ang sumusunod na pahayag: ""Ang pag-aaral magdamag ay mas epektibo kaysa sa maikling pahinga.""","Suriin ang sumunod na statement: ""Ang pag-aaral magdamag ay mas effective kaysa sa short break."""
26,Explain the use of a hammer,Ipaliwanag ang paggamit ng martilyo,Ipaliwanag ang paggamit ng hammer.
27,What is the likely cause for the issue?,Ano ang posibleng dahilan ng isyu?,Ano ang posibleng cause ng issue?
28,Speculate how the world would be different if computers were never invented.,Isipin kung paano magiging iba ang mundo kung ang mga computer ay hindi kailanman naimbento.,Isipin kung paano magiging iba ang world if hindi ginawa ang mga computer. 
29,Build an easy recipe for a healthy breakfast.,Gumawa ng isang madaling recipe para sa isang malusog na almusal.,Gumawa ng isang madaling recipe para sa isang healthy breakfast.
30,Write an advertisement that promotes a product.,Sumulat ng isang patalastas na nagtataguyod ng isang produkto.,Sumulat ng isang advertisement na magpo-promte ng isang product.
31,Identify three characteristics of the given species.,Tukuyin ang tatlong katangian ng ibinigay na species.,Tukuyin ang tatlong characteristics ng ibinigay na species.
32,"Construct a mathematical expression that multiplies 3 and 6, then adds 4 to the result.","Bumuo ng mathematical expression na nagpaparami ng 3 at 6, pagkatapos ay nagdaragdag ng 4 sa resulta.","Bumuo ng mathematical expression na magmultiply ng 3 and 6, then adds 4 sa result."
33,Rewrite the following sentence so that it uses an active voice instead of a passive one.,Isulat muli ang sumusunod na pangungusap upang ito ay gumamit ng isang aktibong boses sa halip na isang tinig.,Isulat muli ang sumusunod na sentence upang ito ay gumamit ng active voice instead of a passive one.
34,"Explain the concept of ""Pythagorean Theorem""."," Ipaliwanag ang konsepto ng ""Pythagorean Theorem"".","Ipaliwanag ang concept ng ""Pythagorean Theorem""."
35,Write a short article on a machine learning algorithm.,Sumulat ng maikling artikulo sa isang machine learning algorithm.,Sumulat ng short article sa isang machine learning algorithm.
36,Convert the decimals to fractions.,Isalin ang mga decimal sa mga fraction.,I-convert ang mga decimal into fraction.
37,Edit the given sentence for correct grammar usage.,I-edit ang ibinigay na pangungusap para sa tamang paggamit ng gramatika.,I-edit ang ibinigay na pangungusap for correct grammar usage.
38,Brainstorm 3 innovative ways to use machine learning.,Mag-brainstorm ng 3 makabagong paraan ng paggamit ng machine learning.,Mag-brainstorm ng 3 innovative ways ng paggamit ng machine learning.
39,Tell a story about a person living an eco-friendly lifestyle.,Magkwento tungkol sa isang taong namumuhay sa isang eco-friendly na pamumuhay.,Magkwento tungkol sa isang tao who is living an eco-friendly lifestyle.
40,"In the given scenario, predict the probability of the person suffering from Diabetes."," Sa ibinigay na senaryo, hulaan ang posibilidad ng taong dumaranas ng Diabetes."," Sa ibinigay na scenario, predict the probability ng taong dumaranas ng Diabetes."
41,Generate an elevator pitch for a business offering interior design services.,Bumuo ng elevator pitch para sa isang negosyong nag-aalok ng mga serbisyo sa interior design.,Bumuo ng elevator pitch para sa isang business offering ng interior design services.
42,Add a joke at the end of the sentence.,Magdagdag ng biro sa dulo ng pangungusap.,Magdagdag ng joke sa end ng pangungusap.
43,Rewrite the code so that it is more efficient.,Isulat muli ang code upang ito ay mas mahusay.,Rewrite the code para maging mas efficient.
44,You are the head of a team and have been asked to provide feedback on a project. Identify three key strengths and weaknesses of the project.,Ikaw ang pinuno ng isang koponan at hiniling na magbigay ng feedback sa isang proyekto. Tukuyin ang tatlong pangunahing kalakasan at kahinaan ng proyekto.,Ikaw ang head ng isang team at inatasang magprovide ng feedback sa isang project. Identify three key strengths and weaknesses ng project.
45,Generate an algorithm to count the number of words in a given sentence.,Bumuo ng isang algorithm upang mabilang ang bilang ng mga salita sa isang ibinigay na pangungusap.,Bumuo ng algorithm para bilangin ang number of words sa isang binigay na sentence.
46,Take the given inputs and generate a creative story.,Kunin ang ibinigay na mga input at bumuo ng isang malikhaing kuwento.,Kunin ang given inputs at mag-generate ng creative story.
47,"Generate a recipe using only these ingredients: onion, chicken, red wine, parsley"," Bumuo ng isang recipe gamit lamang ang mga sangkap na ito: sibuyas, manok, red wine, perehil","Bumuo ng isang recipe using only these ingredients: onions, chicken, red wine, parsley"
48,Suggest a creative way to introduce yourself to a new team.,Magmungkahi ng isang malikhaing paraan upang ipakilala ang iyong sarili sa isang bagong koponan.,Magmungkahi ng creative way upang ipakilala ang iyong sarili sa new team.
49,Determine the optimal order of the following tasks.,Tukuyin ang pinakamainam na pagkakasunud-sunod ng mga sumusunod na gawain.,Tukuyin ang optimal order ng mga sumusunod na tasks.
50,Sort the list of musical instruments into three distinct categories.,Pagbukud-bukurin ang listahan ng mga instrumentong pangmusika sa tatlong magkakaibang kategorya.,I-sort ang list ng mga musical instruments sa tatlong distinct categories.
51,Write a set of instructions to create a greeting card using Adobe Photoshop,Sumulat ng isang hanay ng mga tagubilin upang lumikha ng isang greeting card gamit ang Adobe Photoshop,Sumulat ng set of  instructions upang makagawa ng greeting card gamit ang Adobe Photoshop
52,Calculate the total with the following inputs,Kalkulahin ang kabuuan gamit ang mga sumusunod na input,"Kalkulahin ang total, gamit ang following inputs"
53,What are the advantages of a decision tree?,Ano ang mga pakinabang ng isang puno ng desisyon?,Ano ang advantages ng isang decision tree?
54,"Identify the person, place, or thing referred to in the following sentence."," Tukuyin ang tao, lugar, o bagay na tinutukoy sa sumusunod na pangungusap."," I-identify ang tao, lugar, o bagay na tinutukoy sa sumusunod na sentences."
55,Write a slogan for a company that sells sustainable clothing.,Sumulat ng isang slogan para sa isang kumpanya na nagbebenta ng napapanatiling damit.,Sumulat ng isang slogan para sa isang company na nagbebenta ng sustainable clothing.
56,Write a short narrative from the perspective of a person whose hobby is collecting stamps.,Sumulat ng isang maikling salaysay mula sa pananaw ng isang tao na ang libangan ay mangolekta ng mga selyo.,Sumulat ng short narrative mula sa perspective ng isang tao na ang hobby ay magcollect ng stamps.
57,Simulate a basic computer logic using the provided boolean conditions.,Gayahin ang isang pangunahing lohika ng computer gamit ang ibinigay na mga kundisyon ng boolean.,Gayahon ang isang basic computer logic gamit ang ibinigay na boolean conditions.
58,Find the number of 2-letter words in the English language.,Hanapin ang bilang ng mga 2-titik na salita sa wikang Ingles.,Hanapin ang bilang ng 2-letter words sa English language.
59,Reframe the following statement to provide a positive perspective.,I-frame ang sumusunod na pahayag upang magbigay ng positibong pananaw.,I-reframe ang mga sumusunod na statements upang magbigay ng positive perspective.
60,"Given a string, reverse the order of the characters and print it on the screen"," Dahil sa isang string, baligtarin ang pagkakasunud-sunod ng mga character at i-print ito sa screen","Given a string, i-reverse ang order ng mga characters at i-print ito sa screen"
61,Insert a suitable greeting at the beginning of the given email.,Maglagay ng angkop na pagbati sa simula ng ibinigay na email.,Maglagay ng suitable greeting sa simula ng given email.
62,"Given the list of words, how many words of three letters can be formed?"," Dahil sa listahan ng mga salita, ilang salita ng tatlong letra ang maaaring mabuo?","Mula sa list of words, ilang words of three letters ang maaaring mabuo?"
63,What is the average annual salary for a customer service developer?,Ano ang karaniwang taunang suweldo para sa isang developer ng serbisyo sa customer?,Ano ang average annual salary ng isang customer service developer?
64,Add two elements to make this sentence humorous.,Magdagdag ng dalawang elemento upang gawing nakakatawa ang pangungusap na ito.,Magdagdag ng dalawang elements upang gawing humorous ang sentence na ito.
65,"Provide 5 example words that are associated with the sentiment of ""lonely""."," Magbigay ng 5 halimbawa ng mga salita na nauugnay sa damdamin ng ""malungkot"".","Magbigay ng 5 example words na associated sa sentiment of ""lonely""."
66,Type code that displays the following output:,I-type ang code na nagpapakita ng sumusunod na output:,I-type ang code na magdisplay ng sumusunod na output:
67,Summarize your findings after researching about AI.,Ibuod ang iyong mga natuklasan pagkatapos magsaliksik tungkol sa AI.,I-summarize ang iyong findings pagkatapos magresearch tungkol sa AI.
68,Describe the challenge of having a hectic lifestyle.,Ilarawan ang hamon ng pagkakaroon ng abalang pamumuhay.,Ilarawan ang challenge ng pagkakaroon ng hectic lifestyle.
69,Construct a Pros and Cons list for a given activity.,Bumuo ng listahan ng Pros and Cons para sa isang partikular na aktibidad.,Bumuo ng lists ng Pros and Cons para sa isang partikular na activity.
70,Design an experiment to test the effectiveness of the given product.,Magdisenyo ng isang eksperimento upang subukan ang pagiging epektibo ng ibinigay na produkto.,Magdesign ng experiment para i-test ang effectiveness ng given product.
71,Generate questions for the following statement.,Bumuo ng mga tanong para sa sumusunod na pahayag.,Gumawa ka ng mga tanong base sa statement na ito.
72,Compare and contrast the roles of an educator and a politician.,Ihambing at ihambing ang mga tungkulin ng isang tagapagturo at isang politiko.,I-compare mo ang roles ng educator at politician
73,What is the state of the art for computer vision research?,Ano ang estado ng sining para sa pananaliksik sa computer vision?,Ano na ang pinaka-latest o state of the art sa computer vision research?
74,Explain why a country may use tariffs,Ipaliwanag kung bakit maaaring gumamit ng mga taripa ang isang bansa,I-explain kung bakit gumagamit ng tariffs ang isang bansa.
75,Design a customer survey for a restaurant,Magdisenyo ng survey ng customer para sa isang restaurant,Gumawa ng customer survey para sa isang restaurant.
76,Compare and contrast two different disciplines within AI.,Paghambingin at paghambingin ang dalawang magkaibang disiplina sa loob ng AI.,I-compare mo ang dalawang disciplines sa loob ng AI.
77,Write a few sentences about the given cartoon character.,Sumulat ng ilang pangungusap tungkol sa ibinigay na cartoon character.,Magsulat ng ilang sentences tungkol sa binigay na cartoon character.
78,Predict the trend for the following data.,Hulaan ang trend para sa sumusunod na data.,I-predict mo ang trend ng data na ito.
79,Generate a random sentence based on the given context:She walked across the field.,Bumuo ng random na pangungusap batay sa ibinigay na konteksto: Lumakad siya sa buong field.,"Gumawa ng random sentence gamit ang context na:""Lumakad siya sa buong field."""
80,List 3 good examples of a balanced diet.,Maglista ng 3 magandang halimbawa ng balanseng diyeta.,Magbigay ng 3 examples ng balanced diet.
81,Which type of angle is 90 degrees?,Aling uri ng anggulo ang 90 degrees?,Anong klaseng angle ang 90 degrees?
82,Suggest two possible exercises that can help the user to practice English vocabulary.,Magmungkahi ng dalawang posibleng pagsasanay na makakatulong sa gumagamit na magsanay ng bokabularyo ng Ingles.,Mag-suggest ng dalawang exercises para ma-practice ang English vocabulary.
83,"Edit the word ""delishious"" to form a correct word.","I-edit ang salitang ""masharap"" para makabuo ng tamang salita.","I-edit ang salitang ""masharap"" para maging correct word."
84,Rearrange the sequence of the words below to make a proper sentence.,Ayusin muli ang pagkakasunod-sunod ng mga salita sa ibaba upang makabuo ng wastong pangungusap.,Ire-arrange mo ang sequence ng words below para maging tama ang sentence.
85,Determine the central idea of this article,Tukuyin ang pangunahing ideya ng artikulong ito,I-identify ang main idea ng article na ito.
86,Design a game that includes the following genre: -,Magdisenyo ng laro na kinabibilangan ng sumusunod na genre: -,Gumawa ng game design na may ganitong genre:-
87,Explain why you should choose an organic mattress.,Ipaliwanag kung bakit dapat kang pumili ng isang organic na kutson.,I-explain kung bakit mas okay pumili ng organic mattress.
88,How can businesses benefit from using AI?,Paano makikinabang ang mga negosyo sa paggamit ng AI?,Paano makikinabang ang businesses sa paggamit ng AI?
89,Summarize the contents the of the following article in 2 sentences,Ibuod ang mga nilalaman ng sumusunod na artikulo sa 2 pangungusap,I-summarize ang article sa dalawang sentences.
90,Please guess the following words based on the clues given.,Mangyaring hulaan ang mga sumusunod na salita batay sa mga pahiwatig na ibinigay.,Hulaan mo ang words base sa clues.
91,Think of a creative way to use augmented reality.,Mag-isip ng malikhaing paraan ng paggamit ng augmented reality.,Mag-isip ng creative ways para gamitin ang augmented reality.
92,"Analyze the following sentence: ""The cold winter wind rustled the leaves""."," Suriin ang sumusunod na pangungusap: ""Ang malamig na hangin ng taglamig ay kumaluskos sa mga dahon"".","I-analyze ang sentence na ito:""Ang cold winter winds ay kumaluskos sa mga dahon""."
93,What does 'a priori' mean?,Ano ang ibig sabihin ng 'a priori'?,"Ano ang meaning ng ""a priori""?"
94,Find a way to make this sentence more interesting,Maghanap ng isang paraan upang gawing mas kawili-wili ang pangungusap na ito,Humanap ng ways para gawing mas interesting ang sentence na ito.
95,Generate a list of 5 items we are most likely to find in a garage.,Bumuo ng listahan ng 5 item na pinakamalamang na mahahanap namin sa isang garahe.,Maglista ng 5 items na usually makikita sa garage.
96,"Given a table of data, determine if it follows the normal distribution."," Dahil sa talahanayan ng data, tukuyin kung sumusunod ito sa normal na distribusyon.","Base sa data table, tignan kung it follows normal distribution."
97,Edit the given text so it sounds a bit more formal.,I-edit ang ibinigay na text para maging mas pormal ito.,I-edit ang text para maging mas formal.
98,Explain the differences between relative and absolute paths on a computer.,Ipaliwanag ang mga pagkakaiba sa pagitan ng relative at absolute path sa isang computer.,I-explain ang difference ng relative at absolute path sa computer.
99,Identify the sentence type of: My computer is old.,Tukuyin ang uri ng pangungusap ng: Luma na ang aking kompyuter.,"I-identify ang type ng sentence na: ""Luma na ang aking computer"""
100,Create a list of health benefits of being active.,Gumawa ng listahan ng mga benepisyo sa kalusugan ng pagiging aktibo.,Maglista ng health benefits ng pagiging active.
101,"Categorize the following items into 'fruits' or 'vegetables': banana, potato, tomato","Ikategorya ang mga sumusunod na bagay sa 'prutas' o 'gulay': saging, patatas, kamatis","I-categorize ang mga ito if fruit or vegetable: banana, potato, tomato."
102,"Compare and contrast two characters from Dr. Seuss's ""The Cat in the Hat""."," Ihambing at ihambing ang dalawang karakter mula sa ""The Cat in the Hat"" ni Dr. Seuss.",I-compare ang dalawang characters sa The Cat in the Hat.
103,"Explain the meaning of the idiomatic expression ""It takes two to tango"""," Ipaliwanag ang kahulugan ng idiomatic expression na ""It takes two to tango""","I-explain ang meaning ng idiom na ""It takes two to tango""."
104,"Rewrite the following phrase using the idiom ""over the moon""."," Isulat muli ang sumusunod na parirala gamit ang idyoma na ""over the moon"".","I-rewrite ang phrase gamit ang idiom na ""over the moon"""
105,Suggest a way to lessen paper consumption.,Magmungkahi ng paraan upang mabawasan ang pagkonsumo ng papel.,Mag-suggest ng ways para mabawasan ang paper consumption.
106,Develop a list of 5 steps to ensure project success.,Bumuo ng isang listahan ng 5 hakbang upang matiyak ang tagumpay ng proyekto.,Gumawa ng list of 5 steps para maging successful ang project.
107,Construct an experiment to measure customer satisfaction with a customer chatbot,Bumuo ng isang eksperimento upang sukatin ang kasiyahan ng customer sa isang chatbot ng customer,Gumawa ng experiment to measure ang customer satisfaction sa chatbot.
108,Generate a 10-digit random number.,Bumuo ng 10-digit na random na numero.,Gumawa ng random 10-digit number.
109,Generate a pun from the words 'giraffe' and 'elephant',Bumuo ng isang pun mula sa mga salitang 'giraffe' at 'elephant',Gumawa ng pun using ang giraffe at elephant.
110,Explain the dynamics of a risky relationship.,Ipaliwanag ang dinamika ng isang mapanganib na relasyon.,I-explain ang dynamics ng toxic relationship.
111,Organize these three pieces of information in chronological order,Ayusin ang tatlong piraso ng impormasyong ito ayon sa pagkakasunod-sunod,I-arrange ang tatlong info na ito in chronological order.
112,List five data analysis methods.,Maglista ng limang paraan ng pagsusuri ng datos.,Maglista ng limang ways ng data analysis.
113,Collect data from the following source and summarize them in a table.,Mangolekta ng data mula sa sumusunod na mapagkukunan at ibuod ang mga ito sa isang talahanayan.,Collect data from the sources tapos i-summarize sa table.
114,Rewrite the sentence to make its meaning clearer without changing its main point.,Isulat muli ang pangungusap upang maging mas malinaw ang kahulugan nito nang hindi binabago ang pangunahing punto nito.,I-rewrite ang sentence para mas clear pero same ang meaning.
115,List 5 psychological development milestones for toddlers aged 1-2 years.,Maglista ng 5 mga milestone sa pag-unlad ng sikolohikal para sa mga batang nasa edad 1-2 taon.,Ilista ang 5 psychological milestones ng batang 1-2 years old.
116,Form a complete sentence using the given words.,Bumuo ng isang kumpletong pangungusap gamit ang mga ibinigay na salita.,Gumawa ng complete sentence gamit ang given words.
117,Take this sentence and transform it into a more formal style: It's time to go back to work now.,Kunin ang pangungusap na ito at gawing mas pormal na istilo: Oras na para bumalik sa trabaho ngayon.,"Gawing mas formal ang sentence na: ""Oras na para bumalik sa trabaho ngayon""."
118,"Create a haiku (3 lines with a syllabic pattern of 5/7/5) that uses the phrase ""summer night""."," Gumawa ng haiku (3 linya na may syllabic pattern na 5/7/5) na gumagamit ng pariralang ""summer night"".","Gumawa ng haiku (5/7/5) na may phrase na ""summer night"""
119,Describe an example when the given technique can be useful.,Ilarawan ang isang halimbawa kung kailan maaaring maging kapaki-pakinabang ang ibinigay na pamamaraan.,Magbigay ng example kung kailan useful ang technique na ito.
120,"Given some questions and answers from an online course, classify the type of questions.","Dahil sa ilang tanong at sagot mula sa isang online na kurso, uriin ang uri ng mga tanong.",I-classify ang types ng questions sa online course Q&A.
121,Construct a valid database query from the following parameters.,Bumuo ng isang wastong query sa database mula sa mga sumusunod na parameter.,Gumawa ng valid database query gamit ang parameters.
122,Brainstorm three features that could improve a smartphone,Mag-brainstorm ng tatlong feature na maaaring magpahusay sa isang smartphone,Mag-brainstorm ng 3 features na pwedeng mag-improve ng smartphone.
123,Find an example of a type of encryption algorithm.,Maghanap ng isang halimbawa ng isang uri ng algorithm ng pag-encrypt.,Magbigay ng example ng encryption algorithm.
124,Generate a data visualization about the number of people who attended a concert,Bumuo ng data visualization tungkol sa bilang ng mga taong dumalo sa isang konsiyerto,Gumawa ng data visualization tungkol sa concert attendance.
125,What are the different elements of an electrical circuit?,Ano ang iba't ibang elemento ng electrical circuit?,Ano ang elements ng electrical circuits.
126,Summarize the ethical implications of using AI in the medical field.,Ibuod ang mga etikal na implikasyon ng paggamit ng AI sa larangang medikal.,I-summarize ang ethical implications ng AI sa medical field.
127,Describe how a family matriarch might bring joy to their family.,Ilarawan kung paano maaaring magdulot ng kagalakan ang isang matriarch ng pamilya sa kanilang pamilya.,I-describe kung paano nagdadala ng joy ang isang family matriarch.
128,Describe how artificial intelligence (AI) will shape the future of medicine.,Ilarawan kung paano huhubog ng artificial intelligence (AI) ang hinaharap ng medisina.,I-describe kung paano mai-shape ng AI ang future ng medicine.
129,Name three points of comparison between a refrigerator and a microwave.,Magbigay ng tatlong punto ng paghahambing sa pagitan ng refrigerator at microwave.,Magbigay ng 3 comparison points between a refrigerator and a microwave.
130,Name three things that make a dinner party memorable.,Magbigay ng tatlong bagay na ginagawang hindi malilimutan ang isang salu-salo sa hapunan.,Magbigay ng 3 bagay na nagpapamemorable sa isang dinner party.
131,Which occupations are related to financial analysis?,Aling mga trabaho ang nauugnay sa pagsusuri sa pananalapi?,Ano-anong jobs ang related sa financial analysis.
132,Describe the method for solving a particular problem.,Ilarawan ang paraan para sa paglutas ng isang partikular na problema.,I-describe ang method para mag-solve ng isang specific problem.
133,Rotate this matrix 90 degrees clockwise,Iikot ang matrix na ito 90 degrees clockwise,I-rotate ang matrix 90 degrees clockwise.
134,Which type of literary device is being used in this sentence?,Anong uri ng kagamitang pampanitikan ang ginagamit sa pangungusap na ito?,Anong literary device ang ginamit sa sentence na ito?
135,Describe the most common causes for headaches.,Ilarawan ang mga pinakakaraniwang sanhi ng pananakit ng ulo.,Ilarawan ang mga most common causes ng headaches.
136,Edit the given sentence to make it appropriate for a formal context.,I-edit ang ibinigay na pangungusap upang gawin itong angkop para sa isang pormal na konteksto.,I-edit ang ibinigay na sentence upang gawin itong appropriate para sa isang formal context.
137,Analyze the following statement: Apps have made our lives easier,Suriin ang sumusunod na pahayag: Pinadali ng mga app ang ating buhay,"I-analyze ang statement na: ""Pinadali ng mga app ang ating buhay""."
138,Combine the two sentences into one sentence without losing the meaning.,Pagsamahin ang dalawang pangungusap sa isang pangungusap nang hindi nawawala ang kahulugan.,I-combine ang dalawang sentences into one na hindi mawawala ang meaning.
139,Analyze the following news article and provide a brief summary.,Suriin ang sumusunod na artikulo ng balita at magbigay ng maikling buod.,I-analyze ang sumusunod na news article at magbigay ng brief summary.
140,"Look up ""The Verge"" and provide a summary"," Hanapin ang ""The Verge"" at magbigay ng buod","Hanapin ang ""The Verge"" at magbigay ng summary."
141,Propose a solution to reduce online school fatigue.,Magmungkahi ng solusyon upang mabawasan ang pagkapagod sa online na paaralan.,Mag-suggest ng solution para mabawasan ang pagod sa online school.
142,Compare two characters in an intriguing way,Ihambing ang dalawang karakter sa isang nakakaintriga na paraan,I-compare ang dalawang characters in an intriguing way.
143,Describe in two sentences the difference between a programming language and a markup language,Ilarawan sa dalawang pangungusap ang pagkakaiba sa pagitan ng isang programming language at isang markup language,I-describe in two sentences ang difference ng programming language at markup language.
144,Construct a sentence that uses the given words in the given order.,Bumuo ng isang pangungusap na gumagamit ng mga ibinigay na salita sa ibinigay na pagkakasunud-sunod.,Gumawa ng sentence gamit ang given words in order.
145,Describe the role of data science in the healthcare industry,Ilarawan ang papel ng data science sa industriya ng pangangalagang pangkalusugan,I-describe ang role ng data science sa healthcare industry.
146,"Provide three sentences to explain the definition of ""artificial intelligence""."," Magbigay ng tatlong pangungusap upang ipaliwanag ang kahulugan ng ""artificial intelligence"".","Magbigay ng 3 sentences to explain ang meaing ng ""artifical intelligence""."
147,Create a family budget plan.,Gumawa ng plano sa badyet ng pamilya.,Gumawa ng family budget plan.
148,Brainstorm three creative and unique ways to decorate a room.,Mag-brainstorm ng tatlong malikhain at natatanging paraan upang palamutihan ang isang silid.,Mag-brainstorm ng 3 creative and unique ways para mag-decorate ng room.
149,Categorize the following sentence as an example of either an imperative sentence or interrogative sentence.,Ikategorya ang sumusunod na pangungusap bilang halimbawa ng pangungusap na pautos o pangungusap na patanong.,I-categorize kung imperative o interrogative ang sentence.
150,Evaluate this program for its strengths and weaknesses.,Suriin ang programang ito para sa mga kalakasan at kahinaan nito.,"I-evaluate mo ang program na ito, ano ang strengths and weaknesses niya?"
151,Generate an algorithm for counting to five.,Bumuo ng algorithm para sa pagbibilang hanggang lima.,Gumawa ka ng algorithm para mag-count hanggang five.
152,Name 5 events that took place during World War II.,Magbigay ng 5 pangyayari na naganap noong Ikalawang Digmaang Pandaigdig.,Magbigay ng 5 events na nangyari during World War II.
153,"Given two words, “house” and “spring”, create a five-word phrase."," Dahil sa dalawang salita, ""bahay"" at ""tagsibol"", lumikha ng limang salita na parirala.","Given ang words na ""house"" at ""spring"", gumawa ng five-word phrase."
154,Provide the pros and cons of the given situation.,Ibigay ang mga kalamangan at kahinaan ng ibinigay na sitwasyon.,Ibigay ang pros and cons ng situation na ito.
155,Name two animals which are not mammals.,Magbigay ng dalawang hayop na hindi mammal.,Mag-name ng dalawang animals na hindi mammals.
156,Answer a short-answer question,Sagutin ang isang maikling sagot na tanong,Sagutin ang short-answer question.
157,Parse the following HTML code and create a DOM tree,I-parse ang sumusunod na HTML code at lumikha ng DOM tree,I-parse ang HTML code na ito at gumawa ng DOM tree.
158,Compose a jingle for a health food product.,Gumawa ng jingle para sa isang produktong pangkalusugan na pagkain.,Gumawa ng jingle para sa isang health food product.
159,Generate five tips for teaching English.,Bumuo ng limang tip para sa pagtuturo ng Ingles.,Mag-generate ng five tips para sa pagtuturo ng English.
160,What is a resume objective?,Ano ang layunin ng resume?,Ano ba ang resume objective?
161,Design a phone user interface for a travel planning app,Magdisenyo ng user interface ng telepono para sa isang app sa pagpaplano ng paglalakbay,Mag-design ng phone UI para sa travel planning app.
162,"Describe a web page in the following format:Header, Body, Footer.","Ilarawan ang isang web page sa sumusunod na format: Header, Body, Footer.","I-describe ang web page gamit ang format na: Header, Body, Footer."
163,Describe a method to manage stress during work.,Ilarawan ang isang paraan upang pamahalaan ang stress sa panahon ng trabaho.,Mag-describe ng method para ma-manage ang stress sa work.
164,Identify the profession related to the sentence.,Tukuyin ang propesyon na may kaugnayan sa pangungusap.,I-identify kung anong profession ang tinutukoy sa sentence.
165,Write a function that finds the nth term in a Fibonacci sequence.,Sumulat ng isang function na nakakahanap ng ika-n term sa isang Fibonacci sequence.,Sumulat ng function na nakakahanap ng nth term ng Fibonacci sequence.
166,Name five US states that begin with the letter “A”,"Pangalanan ang limang estado ng US na nagsisimula sa letrang ""A""","Mag-name ng five US states na nagsisimula sa letter ""A""."
167,Describe the major components of the human digestive system.,Ilarawan ang mga pangunahing bahagi ng sistema ng pagtunaw ng tao.,I-describe ang major components ng human digestive system.
